Name | Icon | DisplayName | Description | productivityMod | speedMod | carryMod | additionalStacks | canStack | expires | Category | severity_mastersync | useResourceData | hiddenMod


# Begin Custom Modifiers

mod.whiskertraits.prolific | /Script/Engine.Texture2D'/Game/Assets/Icons/icons8-gauge-100.icons8-gauge-100' | WhiskerTraits.Trait.Prolific.Name | WhiskerTraits.Trait.Prolific.Description | 50 | 0 | 0 | 0 | false | false | World | None | false | true
mod.whiskertraits.mighty | /Script/Engine.Texture2D'/Game/Assets/Icons/icons8-strength-100.icons8-strength-100' | WhiskerTraits.Trait.Mighty.Name | WhiskerTraits.Trait.Mighty.Description | 0 | 0 | 3 | 0 | false | false | World | None | false | true
mod.whiskertraits.speedy | /Script/Engine.Texture2D'/Game/Assets/Icons/icons8-running-100.icons8-running-100' | WhiskerTraits.Trait.Speedy.Name | WhiskerTraits.Trait.Speedy.Description | 0 | 50 | 0 | 0 | false | false | World | None | false | true
mod.whiskertraits.builder | /Script/Engine.Texture2D'/Game/Assets/Icons/icons8-running-100.icons8-running-100' | WhiskerTraits.Trait.Builder.Name | WhiskerTraits.Trait.Builder.Description | 20 | 25 | 2 | 0 | false | false | World | None | false | true

# End Custom Modifiers

# Begin Vanilla Modifiers

# mod.nosleep|/Script/Engine.Texture2D'/Game/Assets/Icons/icons8-sleep-64.icons8-sleep-64'|mod.nosleep|mod.desc.nosleep|-30|-20|0|0|false|true|Home|None|false|false
# mod.hunger|/Script/Engine.Texture2D'/Game/Assets/Icons/icons8-stomach-64.icons8-stomach-64'|mod.hunger|mod.desc.hunger|-30|-15|0|0|false|false|Health|None|false|false
# mod.starvation|/Script/Engine.Texture2D'/Game/Assets/Icons/icons8-starving-64.icons8-starving-64'|mod.starvation|mod.desc.starvation|-50|-20|0|0|false|false|Health|None|false|false
# mod.injury.illness|/Script/Engine.Texture2D'/Game/Assets/Icons/icons8-virus-100.icons8-virus-100'|mod.injury.illness|mod.desc.injury.illness|-50|-30|0|0|false|false|Health|None|false|false
# mod.injury.wound|/Script/Engine.Texture2D'/Game/Assets/Icons/icons8-headstone-64.icons8-headstone-64'|mod.injury.wound|mod.desc.injury.wound|-30|-10|0|0|false|false|Health|None|false|false
# mod.injury.extremeillness|/Script/Engine.Texture2D'/Game/Assets/Icons/icons8-headstone-64.icons8-headstone-64'|mod.injury.extremeillness|mod.desc.injury.extremeillness|-30|-30|0|0|false|false|Health|None|false|false
# mod.policy.increasedCarryCapacity|/Script/Engine.Texture2D'/Game/Assets/Icons/icons8-strength-100.icons8-strength-100'|policy.title.increasedCarryCapacity|policy.desc.increasedCarryCapacity|0|0|2|0|false|false|World|None|false|false
# mod.policy.rapidconstruction|/Script/Engine.Texture2D'/Game/Assets/Icons/icons8-wrench-64.icons8-wrench-64'|policy.title.rapidconstruction|policy.desc.rapidconstruction|0|50|0|0|false|false|World|None|false|false
# mod.policy.productivity.buff|/Script/Engine.Texture2D'/Game/Assets/Icons/icons8-gear-100.icons8-gear-100'|policy.title.productivity|policy.desc.productivity|50|0|0|0|false|true|World|None|false|false
