Name,"Value"
WhiskerTraits.Setting.Negative.Name,"Whisker Traits - Negative Traits"
WhiskerTraits.Setting.Negative.Description,"Enable or disable negative traits from appearing on new whiskers."
WhiskerTraits.Setting.Neutral.Name,"Whisker Traits - Neutral Traits"
WhiskerTraits.Setting.Neutral.Description,"Enable or disable neutral traits from appearing on new whiskers."
WhiskerTraits.Setting.Positive.Name,"Whisker Traits - Positive Traits"
WhiskerTraits.Setting.Positive.Description,"Enable or disable positive traits from appearing on new whiskers."
WhiskerTraits.Setting.Custom.Name,"Whisker Traits - Custom Traits"
WhiskerTraits.Setting.Custom.Description,"Enable or disable custom traits from appearing on new whiskers."
WhiskerTraits.Trait.Prolific.Name,"Prolific"
WhiskerTraits.Trait.Prolific.Description,"This whisker is extraordinarily productive."
WhiskerTraits.Trait.Mighty.Name,"Mighty"
WhiskerTraits.Trait.Mighty.Description,"This whisker can lift extremely heavy loads."
WhiskerTraits.Trait.Speedy.Name,"Speedy"
WhiskerTraits.Trait.Speedy.Description,"This whisker is fast as lightning."
WhiskerTraits.Trait.Normal.Name,"Normal"
WhiskerTraits.Trait.Normal.Description,"This whisker is not remarkable in any way."
WhiskerTraits.Trait.Average.Name,"Average"
WhiskerTraits.Trait.Average.Description,"This whisker is run of the mill."
WhiskerTraits.Trait.Mundane.Name,"Mundane"
WhiskerTraits.Trait.Mundane.Description,"This whisker has no noteworthy characteristics."
WhiskerTraits.Trait.JackOfAllTrades.Name,"Jack of All Trades"
WhiskerTraits.Trait.JackOfAllTrades.Description,"This whisker excels at all types of work."
WhiskerTraits.Trait.Builder.Name,"Builder"
WhiskerTraits.Trait.Builder.Description,"This whisker excels at construction activities."
