Name,"Value"
WhiskerTraits.Setting.Negative.Name,"Características de los bigotes - Características negativas"
WhiskerTraits.Setting.Negative.Description,"Permite activar o desactivar la aparición de rasgos negativos en los nuevos bigotes."
WhiskerTraits.Setting.Neutral.Name,"Características de los bigotes - Características neutrales"
WhiskerTraits.Setting.Neutral.Description,"Permite activar o desactivar la aparición de rasgos neutros en los nuevos bigotes."
WhiskerTraits.Setting.Positive.Name,"Características de los bigotes - Rasgos positivos"
WhiskerTraits.Setting.Positive.Description,"Permite activar o desactivar la aparición de rasgos positivos en los nuevos bigotes."
WhiskerTraits.Setting.Custom.Name,"Características de los bigotes - Características personalizadas"
WhiskerTraits.Setting.Custom.Description,"Habilita o deshabilita la aparición de rasgos personalizados en los nuevos bigotes."
WhiskerTraits.Trait.Prolific.Name,"Prolífico"
WhiskerTraits.Trait.Prolific.Description,"Este bigote es extraordinariamente productivo."
WhiskerTraits.Trait.Mighty.Name,"Poderoso"
WhiskerTraits.Trait.Mighty.Description,"Este bigote puede levantar cargas extremadamente pesadas."
WhiskerTraits.Trait.Speedy.Name,"Rápido"
WhiskerTraits.Trait.Speedy.Description,"Este bigote es rápido como un rayo."
WhiskerTraits.Trait.Normal.Name,"Normal"
WhiskerTraits.Trait.Normal.Description,"Este bigote no tiene nada de particular."
WhiskerTraits.Trait.Average.Name,"Promedio"
WhiskerTraits.Trait.Average.Description,"Este bigote es de lo más común."
WhiskerTraits.Trait.Mundane.Name,"Mundano"
WhiskerTraits.Trait.Mundane.Description,"Este bigote no tiene características destacables."
WhiskerTraits.Trait.JackOfAllTrades.Name,"Un todoterreno"
WhiskerTraits.Trait.JackOfAllTrades.Description,"Este bigote destaca en todo tipo de trabajos."
WhiskerTraits.Trait.Builder.Name,"Constructor"
WhiskerTraits.Trait.Builder.Description,"Este bigote destaca en actividades de construcción."
