Name,"Value"
WhiskerTraits.Setting.Negative.Name,"Caractéristiques des vibrisses - Caractéristiques négatives"
WhiskerTraits.Setting.Negative.Description,"Activer ou désactiver l'apparition des traits négatifs sur les nouvelles moustaches."
WhiskerTraits.Setting.Neutral.Name,"Caractéristiques des moustaches - Caractéristiques neutres"
WhiskerTraits.Setting.Neutral.Description,"Activer ou désactiver l'affichage des traits neutres sur les nouvelles moustaches."
WhiskerTraits.Setting.Positive.Name,"Caractéristiques des vibrisses - Caractéristiques positives"
WhiskerTraits.Setting.Positive.Description,"Activer ou désactiver l'apparition des traits positifs sur les nouvelles moustaches."
WhiskerTraits.Setting.Custom.Name,"Caractéristiques des moustaches - Caractéristiques personnalisées"
WhiskerTraits.Setting.Custom.Description,"Activer ou désactiver l'affichage des caractéristiques personnalisées sur les nouvelles moustaches."
WhiskerTraits.Trait.Prolific.Name,"Prolifique"
WhiskerTraits.Trait.Prolific.Description,"Ce poil est extraordinairement productif."
WhiskerTraits.Trait.Mighty.Name,"Puissant"
WhiskerTraits.Trait.Mighty.Description,"Ce vibrisse peut soulever des charges extrêmement lourdes."
WhiskerTraits.Trait.Speedy.Name,"Rapide"
WhiskerTraits.Trait.Speedy.Description,"Ce vibrisse est rapide comme l'éclair."
WhiskerTraits.Trait.Normal.Name,"Normale"
WhiskerTraits.Trait.Normal.Description,"Ce poil n'a rien de remarquable."
WhiskerTraits.Trait.Average.Name,"Moyenne"
WhiskerTraits.Trait.Average.Description,"Ce poil est tout à fait banal."
WhiskerTraits.Trait.Mundane.Name,"Banal"
WhiskerTraits.Trait.Mundane.Description,"Ce poil ne présente aucune caractéristique remarquable."
WhiskerTraits.Trait.JackOfAllTrades.Name,"Touche-à-tout"
WhiskerTraits.Trait.JackOfAllTrades.Description,"Ce poil excelle dans tous les types de travaux."
WhiskerTraits.Trait.Builder.Name,"Constructeur"
WhiskerTraits.Trait.Builder.Description,"Ce vibrisse excelle dans les activités de construction."
