Name,"Value"
WhiskerTraits.Setting.Negative.Name,"Bajusz tulajdonságok - Negatív tulajdonságok"
WhiskerTraits.Setting.Negative.Description,"Engedélyezze vagy tiltsa le a negatív tulajdonságok megjelenését az új bajuszokon."
WhiskerTraits.Setting.Neutral.Name,"Bajusz tulajdonságok - Semleges tulajdonságok"
WhiskerTraits.Setting.Neutral.Description,"Engedélyezze vagy tiltsa le a semleges tulajdonságok megjelenését az új bajuszokon."
WhiskerTraits.Setting.Positive.Name,"Bajusz tulajdonságok - Pozitív tulajdonságok"
WhiskerTraits.Setting.Positive.Description,"Engedélyezze vagy tiltsa le a pozitív tulajdonságok megjelenését az új bajuszokon."
WhiskerTraits.Setting.Custom.Name,"Bajusz tulajdonságok - Egyedi tulajdonságok"
WhiskerTraits.Setting.Custom.Description,"Egyéni tulajdonságok megjelenésének engedélyezése vagy letiltása az új bajuszokon."
WhiskerTraits.Trait.Prolific.Name,"Szapora"
WhiskerTraits.Trait.Prolific.Description,"Ez a bajusz rendkívül produktív."
WhiskerTraits.Trait.Mighty.Name,"Hatalmas"
WhiskerTraits.Trait.Mighty.Description,"Ez a rúd rendkívül nehéz terheket képes felemelni."
WhiskerTraits.Trait.Speedy.Name,"Gyors"
WhiskerTraits.Trait.Speedy.Description,"Ez a bajusz villámgyors."
WhiskerTraits.Trait.Normal.Name,"Normál"
WhiskerTraits.Trait.Normal.Description,"Ez a bajusz semmilyen tekintetben nem figyelemre méltó."
WhiskerTraits.Trait.Average.Name,"Átlagos"
WhiskerTraits.Trait.Average.Description,"Ez a bajusz átlagos."
WhiskerTraits.Trait.Mundane.Name,"Földi"
WhiskerTraits.Trait.Mundane.Description,"Ennek a bajusznak nincsenek említésre méltó tulajdonságai."
WhiskerTraits.Trait.JackOfAllTrades.Name,"Mindentudó"
WhiskerTraits.Trait.JackOfAllTrades.Description,"Ez a szakáll mindenféle munkához kiváló."
WhiskerTraits.Trait.Builder.Name,"Építész"
WhiskerTraits.Trait.Builder.Description,"Ez a bajusz kiválóan alkalmas építési tevékenységekhez."
