Name,"Value"
WhiskerTraits.Setting.Negative.Name,"Caratteristiche dei baffi - Caratteristiche negative"
WhiskerTraits.Setting.Negative.Description,"Consente o impedisce la comparsa di tratti negativi sui nuovi baffi."
WhiskerTraits.Setting.Neutral.Name,"Caratteristiche dei baffi - Caratteristiche neutre"
WhiskerTraits.Setting.Neutral.Description,"Consente o impedisce la comparsa di tratti neutri sui nuovi baffi."
WhiskerTraits.Setting.Positive.Name,"Caratteristiche dei baffi - Caratteristiche positive"
WhiskerTraits.Setting.Positive.Description,"Consente o impedisce la comparsa di tratti positivi sui nuovi baffi."
WhiskerTraits.Setting.Custom.Name,"Caratteristiche dei baffi - Caratteristiche personalizzate"
WhiskerTraits.Setting.Custom.Description,"Consente o disabilita la visualizzazione di tratti personalizzati sui nuovi baffi."
WhiskerTraits.Trait.Prolific.Name,"Prolifico"
WhiskerTraits.Trait.Prolific.Description,"Questo baffo è straordinariamente produttivo."
WhiskerTraits.Trait.Mighty.Name,"Potente"
WhiskerTraits.Trait.Mighty.Description,"Questo baffo è in grado di sollevare carichi estremamente pesanti."
WhiskerTraits.Trait.Speedy.Name,"Veloce"
WhiskerTraits.Trait.Speedy.Description,"Questo baffo è veloce come un fulmine."
WhiskerTraits.Trait.Normal.Name,"Normale"
WhiskerTraits.Trait.Normal.Description,"Questo baffo non ha nulla di particolare."
WhiskerTraits.Trait.Average.Name,"Media"
WhiskerTraits.Trait.Average.Description,"Questo baffo è nella media."
WhiskerTraits.Trait.Mundane.Name,"Mondano"
WhiskerTraits.Trait.Mundane.Description,"Questo baffo non presenta caratteristiche degne di nota."
WhiskerTraits.Trait.JackOfAllTrades.Name,"Tuttofare"
WhiskerTraits.Trait.JackOfAllTrades.Description,"Questo baffo eccelle in ogni tipo di lavoro."
WhiskerTraits.Trait.Builder.Name,"Costruttore"
WhiskerTraits.Trait.Builder.Description,"Questo baffo eccelle nelle attività di costruzione."
