Name,"Value"
WhiskerTraits.Setting.Negative.Name,"ヒゲの特徴 - マイナスの特徴"
WhiskerTraits.Setting.Negative.Description,"新しいヒゲにマイナスの特性が現れるように設定したり、無効にしたりできます。"
WhiskerTraits.Setting.Neutral.Name,"ヒゲの特徴 - 中立的な特徴"
WhiskerTraits.Setting.Neutral.Description,"新しいヒゲに中立的な特性が現れるかどうかを有効または無効にします。"
WhiskerTraits.Setting.Positive.Name,"ヒゲの特徴 - ポジティブな特徴"
WhiskerTraits.Setting.Positive.Description,"新しいヒゲに良い特性が現れるかどうかを有効または無効にします。"
WhiskerTraits.Setting.Custom.Name,"ヒゲの特性 - カスタム特性"
WhiskerTraits.Setting.Custom.Description,"新しいヒゲにカスタム特性が表示されるように設定を有効または無効にします。"
WhiskerTraits.Trait.Prolific.Name,"多作"
WhiskerTraits.Trait.Prolific.Description,"このヒゲは驚くほど生産性が高い。"
WhiskerTraits.Trait.Mighty.Name,"強力"
WhiskerTraits.Trait.Mighty.Description,"このヒゲは非常に重い荷物を持ち上げることができる。"
WhiskerTraits.Trait.Speedy.Name,"スピーディー"
WhiskerTraits.Trait.Speedy.Description,"このヒゲは稲妻のように速い。"
WhiskerTraits.Trait.Normal.Name,"普通"
WhiskerTraits.Trait.Normal.Description,"このヒゲは、特に目立った特徴はない。"
WhiskerTraits.Trait.Average.Name,"平均"
WhiskerTraits.Trait.Average.Description,"このヒゲはごくありふれたものだ。"
WhiskerTraits.Trait.Mundane.Name,"平凡な"
WhiskerTraits.Trait.Mundane.Description,"このヒゲには特筆すべき特徴はありません。"
WhiskerTraits.Trait.JackOfAllTrades.Name,"何でも屋"
WhiskerTraits.Trait.JackOfAllTrades.Description,"このヒゲはあらゆる種類の仕事に優れています。"
WhiskerTraits.Trait.Builder.Name,"ビルダー"
WhiskerTraits.Trait.Builder.Description,"このヒゲは建設作業に非常に優れている。"
