Name,"Value"
WhiskerTraits.Setting.Negative.Name,"Cechy wąsów - cechy negatywne"
WhiskerTraits.Setting.Negative.Description,"Włącz lub wyłącz wyświetlanie negatywnych cech na nowych wąsach."
WhiskerTraits.Setting.Neutral.Name,"Cechy wąsów - cechy neutralne"
WhiskerTraits.Setting.Neutral.Description,"Włącz lub wyłącz wyświetlanie neutralnych cech na nowych wąsach."
WhiskerTraits.Setting.Positive.Name,"Cechy wąsów - cechy pozytywne"
WhiskerTraits.Setting.Positive.Description,"Włącz lub wyłącz pojawianie się pozytywnych cech na nowych wąsach."
WhiskerTraits.Setting.Custom.Name,"Cechy wąsów – cechy niestandardowe"
WhiskerTraits.Setting.Custom.Description,"Włącz lub wyłącz wyświetlanie niestandardowych cech na nowych wąsach."
WhiskerTraits.Trait.Prolific.Name,"Płodny"
WhiskerTraits.Trait.Prolific.Description,"Ten wąsik jest niezwykle produktywny."
WhiskerTraits.Trait.Mighty.Name,"Potężny"
WhiskerTraits.Trait.Mighty.Description,"Ten wąsik może podnosić wyjątkowo ciężkie ładunki."
WhiskerTraits.Trait.Speedy.Name,"Szybki"
WhiskerTraits.Trait.Speedy.Description,"Ten wąsik jest szybki jak błyskawica."
WhiskerTraits.Trait.Normal.Name,"Normalna"
WhiskerTraits.Trait.Normal.Description,"Ten wąsik nie jest niczym szczególnym."
WhiskerTraits.Trait.Average.Name,"Przeciętny"
WhiskerTraits.Trait.Average.Description,"Ten wąsik jest zupełnie zwyczajny."
WhiskerTraits.Trait.Mundane.Name,"Przyziemny"
WhiskerTraits.Trait.Mundane.Description,"Ten wąs nie ma żadnych szczególnych cech charakterystycznych."
WhiskerTraits.Trait.JackOfAllTrades.Name,"Złota rączka"
WhiskerTraits.Trait.JackOfAllTrades.Description,"Ten wąsik świetnie sprawdza się w każdym rodzaju pracy."
WhiskerTraits.Trait.Builder.Name,"Budowniczy"
WhiskerTraits.Trait.Builder.Description,"Ten wąsik świetnie sprawdza się w pracach budowlanych."
