Name,"Value"
WhiskerTraits.Setting.Negative.Name,"Características dos bigodes - Características negativas"
WhiskerTraits.Setting.Negative.Description,"Ativar ou desativar a exibição de características negativas em novos bigodes."
WhiskerTraits.Setting.Neutral.Name,"Características dos bigodes - Características neutras"
WhiskerTraits.Setting.Neutral.Description,"Ative ou desative a exibição de características neutras em novos bigodes."
WhiskerTraits.Setting.Positive.Name,"Características dos bigodes - Características positivas"
WhiskerTraits.Setting.Positive.Description,"Ativar ou desativar a exibição de características positivas em novos bigodes."
WhiskerTraits.Setting.Custom.Name,"Características dos Bigodes - Características Personalizadas"
WhiskerTraits.Setting.Custom.Description,"Ative ou desative a exibição de características personalizadas em novos bigodes."
WhiskerTraits.Trait.Prolific.Name,"Prolífico"
WhiskerTraits.Trait.Prolific.Description,"Este bigode é extraordinariamente produtivo."
WhiskerTraits.Trait.Mighty.Name,"Poderoso"
WhiskerTraits.Trait.Mighty.Description,"Este bigode consegue levantar cargas extremamente pesadas."
WhiskerTraits.Trait.Speedy.Name,"Rápido"
WhiskerTraits.Trait.Speedy.Description,"Este bigode é rápido como um raio."
WhiskerTraits.Trait.Normal.Name,"Normal"
WhiskerTraits.Trait.Normal.Description,"Este bigode não tem nada de especial."
WhiskerTraits.Trait.Average.Name,"Média"
WhiskerTraits.Trait.Average.Description,"Este bigode é bem comum."
WhiskerTraits.Trait.Mundane.Name,"Mundano"
WhiskerTraits.Trait.Mundane.Description,"Este bigode não possui características notáveis."
WhiskerTraits.Trait.JackOfAllTrades.Name,"Pau para toda obra"
WhiskerTraits.Trait.JackOfAllTrades.Description,"Este bigode se destaca em todos os tipos de trabalho."
WhiskerTraits.Trait.Builder.Name,"Construtor"
WhiskerTraits.Trait.Builder.Description,"Este bigode se destaca em atividades de construção."
